meta.year,meta.week,meta.source_url,meta.fetched_at_utc,meta.http_status,meta.content_type
2025,1,,2025-09-02T15:56:52+00:00,200,text/html; charset=utf-8
2025,2,,2025-09-02T15:56:53+00:00,200,text/html; charset=utf-8
2025,3,,2025-09-02T15:56:55+00:00,200,text/html; charset=utf-8
2025,4,,2025-09-02T15:56:56+00:00,200,text/html; charset=utf-8
2025,5,,2025-09-02T15:56:58+00:00,200,text/html; charset=utf-8
2025,6,,2025-09-02T15:56:59+00:00,200,text/html; charset=utf-8
2025,7,,2025-09-02T15:57:00+00:00,200,text/html; charset=utf-8
2025,8,,2025-09-02T15:57:02+00:00,200,text/html; charset=utf-8
2025,9,,2025-09-02T15:57:03+00:00,200,text/html; charset=utf-8
2025,10,,2025-09-02T15:57:05+00:00,200,text/html; charset=utf-8
2025,11,,2025-09-02T15:57:06+00:00,200,text/html; charset=utf-8
2025,12,,2025-09-02T15:57:07+00:00,200,text/html; charset=utf-8
2025,13,,2025-09-02T15:57:09+00:00,200,text/html; charset=utf-8
2025,14,,2025-09-02T15:57:10+00:00,200,text/html; charset=utf-8
2025,15,,2025-09-02T15:57:11+00:00,200,text/html; charset=utf-8
2025,16,,2025-09-02T15:57:13+00:00,200,text/html; charset=utf-8
